"id","Дата рождения","активность","пол","фамилия","имя","Последняя авторизация","должность","цфо","Дата регистрации","Дата изменения","подразделения","E-Mail","логин","компания","Город проживания"
1505,"",Нет,"","","","28.06.2019 12:44:17",Младший консультант,DAR,"","",. . . . Направление BI,"","","",""
1508,"",Нет,"","","","02.08.2019 10:29:25",Старший аналитик,DAR,"","",. . . . Направление BI,"","","",""
1509,"",Нет,"","","","19.07.2019 14:22:41",Руководитель проектов,DAR,"","",. . . . Направление BI,"","","",""
1513,"",Нет,"","","","24.03.2021 22:45:48",Старший разработчик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
1517,"",Да,"","","","15.06.2019 17:26:37",Консультант систем бизнес-аналитики,DAR,"","",. . . . . Группа Центров Компетенций,"","","",""
1534,"",Нет,"","","","19.10.2020 08:59:52",Менеджер по развитию бизнеса,DAR,"","",". . . Sales, Marketing & Business Development / SMBD","","","",""
1540,"",Нет,"","","","24.03.2022 17:04:47",Старший разработчик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
1563,"",Да,"","","","09.01.2024 08:29:56",Консультант систем бизнес-аналитики,DAR,"","",. . . . . Группа Центров Компетенций,"","","",""
1566,"",Нет,"","","","18.01.2021 17:21:18",Разработчик,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
1569,"",Нет,"","","","13.01.2023 09:46:35",Куратор проектов,DAR,"","",. . Департамент аналитических решений,"","","",""
1580,"",Нет,"","","","19.04.2019 11:17:13",Разработчик,DAR,"","",. . . . Направление DWH&ML,"","","",""
1587,"",Нет,"","","","22.07.2021 23:31:51",Руководитель проектов,DAR,"","",. . . . Направление DG&DQ,"","","",""
1591,"",Да,"","","","11.01.2024 15:27:39",Руководитель проектов,DAR,"","",. . . . . Группа управления проектами,"","","",""
1598,"",Нет,"","","","10.12.2020 14:26:43",Директор по работе с клиентами,DAR,"","",". . . Sales, Marketing & Business Development / SMBD","","","",""
1601,"",Да,"","","","10.01.2024 16:48:44",Старший аналитик,DAR,"","",". . . Sales, Marketing & Business Development / SMBD","","","",""
1610,"",Нет,"","","","29.10.2019 12:34:52",Младший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
1611,"",Нет,"","","","27.05.2020 15:18:09",Бизнес эксперт,DAR,"","",. . Департамент аналитических решений,"","","",""
1613,"",Нет,"","","","30.04.2021 09:49:39",Младший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
1625,"",Да,"","","","09.01.2024 10:18:48",Аналитик,DAR,"","",. . . . . . Группа СА РЖД,"","","",""
1635,"",Да,"","","","09.01.2024 13:21:41",Старший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
1636,"",Нет,"","","","30.06.2023 11:55:03",Руководитель направления,DAR,"","",. . . . Направление BI,"","","",""
1643,"",Да,"","","","27.11.2023 19:58:18",Разработчик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
1649,"",Да,"","","","10.01.2024 16:00:19",Инженер по автоматизации технологических процессов,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
1650,"",Нет,"","","","05.10.2023 11:19:52",Консультант-разработчик,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
2127,"",Нет,"","","","",руководитель проектов,"","","",. . . . Направление DG&DQ,"","","",""
2273,"",Нет,"","","","",Консультант систем бизнес-аналитики,DAR,"","",. . . . Направление BI,"","","",""
2718,"",Да,"","","","21.12.2023 11:21:51",Менеджер по развитию бизнеса,DAR,"","",. . . . KeepRise,"","","",""
2719,"",Нет,"","","","26.07.2019 12:51:03",Консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
2724,"",Да,"","","","11.01.2024 14:56:33",Владелец продукта,DAR,"","",. . . Направление СКИМ,"","","",""
2735,"",Нет,"","","","29.09.2021 01:28:54",Младший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
2742,"",Да,"","","","11.01.2024 14:58:58",Младший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
2748,"",Да,"","","","18.12.2023 14:52:32",Аналитик,DAR,"","",. . . . . Системная Аналитика: Центр компетенций,"","","",""
2758,"",Нет,"","","","15.02.2021 17:38:49",Разработчик,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
2797,"",Нет,"","","","01.09.2023 14:05:57",Старший аналитик,DAR,"","",. . . . . . Бизнес-аналитика общей практики: Центр компетенций,"","","",""
2798,"",Нет,"","","","22.11.2021 16:59:46",Младший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
2800,"",Да,"","","","25.12.2023 16:31:28",Консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
2815,"",Нет,"","","","19.01.2021 14:26:03",Руководитель проектов,DAR,"","",. . . . Направление BI,"","","",""
2829,"",Нет,"","","","11.06.2020 01:18:25",Младший разработчик BI,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
2837,"",Нет,"","","","03.11.2023 16:41:13",Системный аналитик,DAR,"","",. . . . . . Группа СА РЖД,"","","",""
2843,"",Нет,"","","","24.12.2021 09:23:15",Старший аналитик,DAR,"","",. . . . Направление BI,"","","",""
2848,"",Нет,"","","","13.08.2019 15:52:07",Технический руководитель проектов,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
2849,"",Нет,"","","","20.04.2023 10:28:33",Ведущий менеджер по персоналу,DAR,"","",. . Департамент аналитических решений,"","","",""
2861,"",Нет,"","","","03.06.2020 13:22:11",Младший разработчик,DAR,"","",. . . . . . Импортозамещенные технологии BI: Центр компетенций,"","","",""
2863,"",Да,"","","","29.12.2023 09:45:36",Разработчик,DAR,"","",. . . . . . Data Platform группа #3,"","","",""
2874,"",Да,"","","","05.12.2022 09:50:22",Архитектор решений,DAR,"","",. . . . Направление DWH&ML,"","","",""
2879,"",Да,"","","","11.12.2023 18:07:19",Старший консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
2883,"",Нет,"","","","14.09.2023 12:57:09",Старший бизнес-аналитик,DAR,"","",. . . . . . Бизнес-аналитика общей практики: Центр компетенций,"","","",""
2890,"",Нет,"","","","14.08.2019 16:50:56",Аналитик,DAR,"","",. . . . Направление DWH&ML,"","","",""
2901,"",Да,"","","","22.12.2023 16:59:37",Аналитик,DAR,"","",. . . . . . Бизнес-аналитика. Общая практика,"","","",""
2904,"",Нет,"","","","02.11.2021 14:39:18",Ведущий аналитик,DAR,"","",. . . . Направление DG&DQ,"","","",""
2928,"",Нет,"","","","28.07.2022 11:09:45",Инженер по качеству,DAR,"","",. . . . . Тестирование DWH / QA: Центр компетенций,"","","",""
2955,"",Да,"","","","14.02.2023 00:58:30",Бизнес-аналитик,DAR,"","",. . . . KeepRise,"","","",""
2977,"",Нет,"","","","25.10.2019 09:49:32",Руководитель проектов,DAR,"","",. . . . Направление DG&DQ,"","","",""
2984,"",Нет,"","","","10.02.2021 12:34:30",Младший разработчик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
2986,"",Да,"","","","26.12.2023 13:27:12",Менеджер по сопровождению,DAR,"","",. . . Направление СКИМ,"","","",""
3011,"",Да,"","","","22.11.2023 12:46:17",Технический лидер,DAR,"","",. . . . . . Data Platform группа #1,"","","",""
3016,"",Нет,"","","","18.12.2020 15:10:12",Старший разработчик,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
3023,"",Нет,"","","","03.11.2021 16:52:35",Руководитель проектов,DAR,"","",. . . . Направление BI,"","","",""
3043,"",Да,"","","","10.01.2024 17:50:59",Разработчик,DAR,"","",. . . . . Data Platform: Центр компетенций,"","","",""
4461,"",Да,"","","","",Разработчик,"","","",. . . . A2 Consulting,"","","",""
3047,"",Да,"","","","02.10.2023 14:45:50",Консультант,DAR,"","",. . . . . . Qlik: Центр компетенций,"","","",""
3054,"",Нет,"","","","01.06.2020 16:04:54",Старший разработчик,DAR,"","",. . . . . . Microsoft: Центр компетенций,"","","",""
3057,"",Нет,"","","","04.05.2021 11:16:35",Ведущий аналитик,DAR,"","",. . . . Направление BI,"","","",""
3091,"",Нет,"","","","11.04.2021 16:32:44",Руководитель направления,DAR,"","",. . Департамент аналитических решений,"","","",""
3094,"",Да,"","","","13.12.2023 16:20:17",Технический лидер,DAR,"","",. . . . . . . Microsoft BI,"","","",""
